Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09,Q_dch_interp_11,Q_dch_interp_13,Q_dch_interp_15,Q_dch_interp_17,Q_dch_interp_19,Q_dch_interp_21,Q_dch_interp_23,Q_dch_interp_25,Q_dch_interp_27,Q_dch_interp_31
-4.287307082285974,-4.250093984510247,-4.2229484518731875,-4.2002622907464815,-4.170150618738913,-4.149347233700584,-4.128404130933968,-4.091322382685088,-4.055909947096708,-4.023513872611209,-3.984548045477732,-3.957159530059033,-3.927774055809064,-3.899610962296238,-3.857281513304816
-4.274096862140168,-4.236736702534498,-4.209699809234279,-4.187075360375862,-4.156993434619634,-4.136280559130022,-4.115459649742107,-4.078399548645486,-4.043169600225207,-4.010606667846164,-3.971470792786672,-3.944305611301782,-3.914779614980209,-3.8865466301583016,-3.844622120657794
-4.260594545306104,-4.223100891403511,-4.196136150773066,-4.173567304499439,-4.143560614451594,-4.122928981358532,-4.102189281528248,-4.0651894498899495,-4.03011177834758,-3.997397794929765,-3.9580121197026004,-3.931121237205482,-3.9013846498440636,-3.873101714438575,-3.8316681252208387
-4.246762873117661,-4.209149860233196,-4.1822181699705645,-4.159696248032878,-4.1298315854282,-4.10927788213586,-4.08855412005195,-4.051696811422614,-4.01670804804371,-3.9838726743343087,-3.944159503695859,-3.917542949462606,-3.8875727595185907,-3.859265855159743,-3.8183579795317195
-4.232564586908722,-4.194846332298843,-4.167906560307793,-4.145420315891842,-4.115757936650086,-4.09529856054154,-4.074515259072763,-4.037897892735591,-4.002911412175616,-3.9699742231541424,-3.9299004222367877,-3.9035072897656296,-3.873327543121751,-3.845028692344489,-3.8046291203967226
-4.217962428013169,-4.180148523676124,-4.153162015265771,-4.130697632991991,-4.1012697200741846,-4.080922475579375,-4.060033792350242,-4.023723164270052,-3.9886691097462723,-3.955641693462634,-3.9152223527957264,-3.8889508873977756,-3.8586325997715076,-3.830379866015495,-3.790418984622138
-4.202919137764885,-4.165012558703557,-4.137945228325515,-4.115486324248991,-4.086296427412442,-4.066074090343234,-4.045070813643941,-4.009098956070467,-3.9739283779684187,-3.940814337333152,-3.9001114966730177,-3.873817544234001,-3.843469893466961,-3.815304671100316,-3.775664905544693
-4.187397457497751,-4.149394550217738,-4.122216892968045,-4.099744514578502,-4.070767550376809,-4.050677867926986,-4.029587416713415,-3.9939515981812965,-3.9586364489575905,-3.9254313527388374,-3.8845126457273462,-3.8580634496929007,-3.827789050113097,-3.7997256903176173,-3.760302170161539
-4.171359335620597,-4.133250524547423,-4.105937570841335,-4.083428423530448,-4.054616713942793,-4.034658801984251,-4.013544689051654,-3.978207971790659,-3.9427378247479243,-3.909430802752609,-3.8683211148080603,-3.841646022424042,-3.8115100395427857,-3.7835183819479767,-3.7442641888473585
-4.154744094555273,-4.116528506931347,-4.089055630385713,-4.066480664558727,-4.037797500722048,-4.01795522133838,-3.9968957348770697,-3.961802204288025,-3.9261697851391877,-3.892749673192565,-3.851429313038423,-3.8245226810769863,-3.794551734135205,-3.7665570567555413,-3.727484302530476
-4.13746568526243,-4.099162159477679,-4.071497551444706,-4.048837934135692,-4.020269509133144,-4.000519451123851,-3.9795700413175124,-3.944673530040223,-3.9088684293260103,-3.87532490731548,-3.8337296495416995,-3.8066508443013025,-3.7768330062695368,-3.7487177239294875,-3.709895852139215
-4.119436714424133,-4.081083647167561,-4.053187532325122,-4.030436904495902,-4.001992338826127,-3.982304479360245,-3.9614927490602443,-3.926761290227578,-3.890769856503013,-3.8570934483781283,-3.8151176126989337,-3.787987930746552,-3.7582727283249584,-3.729932148897314,-3.6914321786018984
-4.100569788722451,-4.062225134982137,-4.0340497713337635,-4.011214224049344,-3.9829254219366974,-3.963263294067141,-3.942588998792534,-3.908004826030416,-3.8718101658648214,-3.837992239637281,-3.7955469837174878,-3.7684913590622986,-3.738789772680647,-3.7101990888939342,-3.6720266228468494
-4.080779785196015,-4.042518787902552,-4.014008761961743,-3.9911028340359938,-3.963012403448424,-3.9433488832641266,-3.922783931201646,-3.8883443172579337,-3.851925456606062,-3.8179582243497148,-3.7750236235613452,-3.748118547898111,-3.7183030117157845,-3.689521270460121,-3.6516125258023933
